city,study_year,reporting_year,scope_1_emissions,scope_1_units,emissions_year,gases_included,change_from_last_year,scope_2_emissions,total_scope_2_emissions,s1_lower_bound,s1_upper_bound,s1_mean,tot_lower_bound,tot_upper_bound,tot_mean,scope_fractions,CO2_emissions_per_capita,lat_long,latitude,longitude,country,region,population,population_year,population_1950,population_1990,population_2010,growth_rate_1950_2010,growth_rate_1990_2010,city_area,population_density,average_altitude_m,average_annual_temperature_celcius,gdp,gdp_unit,income_per_capita,gdp-ppp,ngdp,ngdp_capita_usd,total_consumption_capita,CO2_energy_capita,diesel_price_usd,gas_price_usd,percent_urban,Water bounded (GEA+),Other bounded (GEA+),mean_travel_time_minutes,deisel_price_2014_usd,gas_price_2014_usd,household_size,congestion_rank,peak_hours_spent_in_congestion,average_congestion_rate,congestion_rank,congestion_level,congestion_change,morning_peak,evening_peak,economy_rank,environment_rank,governance_rank_iese,human_capital_rank_iese,international_impact_rank,mobility_and_transport_rank_iese,public_management_rank_iese,social_cohesion_rank_iese,technology_rank_iese,urban_planning_rank_iese,exports, ,natgas_export_production_ratio,ch4_waste_capita,ch4_waste_plus_natgas_capita
New York City,2005,2017,38962264,tCO2-eq,2015,CO2; CH4; SF6; N2O,Decreased,14343743,53306007,30436445.85,34731236.69,32583841.27,44780188.85,49074979.69,46927584.27,1,,"(40.7127837, -74.0059413)",40.713,-74.0059,USA,North America,8537673,2016,12338000,16086000,20104000,1.008170445,1.011210849,783.8345736,6733.14653,10,13,1.56E+12,USD     US Dollar,,1403.463,1180.3,62367.2391,128.0665693,7.7,0.78,0.56,80.731,1,,34.9,0.97,0.86,2.65,3,89,12.80%,49,0.35,0.02,50%,62%,1,82,6,4,5,11,4,153,2,5,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Istanbul,,,37199137,tCO2-eq,2010,,,,,,,,,,,,,,41.00824,28.978359,Turkey,"North Africa, Middle East, West Asia",15029231,2017,,,,,,5343,2725,,,,,,348.721,188.2,17182.50708,36.15,,1.63,1.87,66.841,1,,,1.9,2.06,3.5,17,59,18.60%,6,0.49,-0.01,63%,91%,92,134,159,136,6,124,68,152,54,87,,,,,
Tianjin,2006,,34806608.2,tCO2,2010,,,,,,,,,,,,3.64,,39.13333333,117.1833333,China,East Asia,12784000,,2467000,4558000,8535000,1.020901651,1.031861622,174.9,1255.509462,,,,,53192.42,0.00364,128.8,11614.06673,139.7169117,10.8,1.01,0.99,42.522,1,,,1.09,1.17,,,,,23,0.41,0.02,59%,64%,106,174,155,51,145,42,180,112,57,148,,,,,
Lagos,,2016,29426266,tCO2-eq,2014,CO2; CH4,Other,,29426266,25804083.98,26810899.51,26307491.74,25804083.98,26810899.51,26307491.74,,,"(6.524379, 3.379206)",6.455,3.384082,Nigeria,Africa,21000000,2015,,,,,,2706.7,,34,30,1.37E+12,USD     US Dollar,,35,28,2595.476455,,,,,,,,,0.84,0.56,,,,,,,,,,110,171,162,173,179,168,28,176,179,180,25000000000,31360000000,0.8,0.004447902,0.0128908
Tokyo,2006,2016,27611000,tCO2-eq,2014,CO2; CH4; N2O; HFCs; PFCs; SF6; NF3,Stayed the same,42515000,70125000,26518519.27,26658148.69,26588333.98,69032519.27,69172148.69,69102333.98,1.00001426,,"(35.6896342, 139.6921007)",35.683,139.683333,Japan,East Asia,12576611,2015,11275000,32530000,36933000,1.019972119,1.006367322,2190.93,5846.429518,43,16.6,9.29E+13,JPY     Japanese yen,,1616.792,1874.7,51443.3895,59.78107897,4.4,1.3,1.42,85.978,1,,43.8,1.1,1.38,2.02,,,,,,,,,6,8,91,6,20,21,33,96,5,86,0,1,0,0.002518209,0.002887223
Seoul,1998,2016,25082520,tCO2-eq,2013,CO2; CH4; N2O; HFCs; PFCs; SF6,,22530144,47612664,20551223.49,21930435.9,21240829.69,43081367.49,44460579.9,43770973.69,1,,"(37.566535, 126.9779692)",37.567,126.966667,South Korea,East Asia,9995784,,1021000,10544000,9751000,1.038325987,0.996098275,605.21,,85,12.1,3.28E+14,KRW     South Korean Won,,845.906,233.3,23820.70656,,4.1,1.4,1.51,81.345,0,Major River,47.95,1.37,1.55,2.47,,,,,,,,,14,53,24,15,19,2,39,59,4,78,0,1,0,0.010932594,0.015716213
Santiago,,2016,23120027.8,tCO2-eq,2013,CO2; CH4; N2O,This is our first year of calculation,8306669,31426696.8,18362773.34,19932444.65,19147608.99,26669442.34,28239113.65,27454277.99,1,,"(-33.44889, -70.669265)",-33.45,-70.666667,Chile,Latin America & Caribbean,7310000,2016,,,,,,641,,520,14,1.25E+11,USD     US Dollar,,171.436,93,15166.34051,,,,,,,,37.09,1.09,1.52,3.5,,,,,,,,,40,39,110,71,71,91,125,79,129,96,0,1,0,0.015564604,0.02322913
eThekwini,,,22118090,tCO2-eq,2015,,,,,,,,,,,,,,-29.8587,31.02184,South Africa,Africa,3442361,2011,,,,,,2291,1427.167612,,,,,,,,,39,,0.95,0.87,59.256,1,,,1.17,1.19,,,,,,,,,,,,,,,,,,,,,,,,
Taoyuan,,2017,21143194.6,tCO2-eq,2014,CO2; CH4; N2O; HFCs; PFCs; SF6; NF3,Increased,14621331.42,35764526.02,20243259.08,20364053.55,20303656.31,34864590.5,34985384.97,34924987.73,1,,"(24.993628, 121.30098)",24.991,121.314328,Taiwan,East Asia,2116988,2014,,,,,,1220.95,,,23,5.30E+11,USD     US Dollar,,86.782,,,,,,,,,,,0.98,0.98,2.89,,,,80,0.3,0.04,42%,61%,,,,,,,,,,,0,1,0,0.012921381,0.014924653
Guangzhou,,,21069987.84,tCO2,2010,,,,,,,,,,,,1.98,,23.13333333,113.2666667,China,East Asia,11547491,,,,,,,3843.43,1708,,,,,56754.92,0.00198,146.1,13196.63987,93.78921648,,1.01,0.99,42.522,1,,,1.09,1.17,,,,,14,0.44,0.07,58%,85%,100,170,103,44,21,19,161,141,20,69,,,,,
Greater London,2003,2016,20620000,tCO2-eq,2013,CO2; CH4; N2O,Increased,19570000,40190000,14838290.94,16252789.03,15545539.98,34408290.94,35822789.03,35115539.98,1,,"(51.504858, -0.078689)",51.507,-0.1275,United Kingdom,Europe,8673713,2016,8361000,7654000,8923000,1.001084824,1.007699683,1572.15,4813.312102,35,11,4.92E+11,USD     US Dollar,,,,,74.48595111,6.3,1.65,1.44,79.007,0,Major River,37,1.99,1.92,2.47,7,73,12.70%,25,0.4,0.02,64%,68%,4,35,23,1,2,1,34,105,23,22,10550000000,40990000000,0.26,0.018136258,0.026046307
Shenzhen,,,20444357.31,tCO2,2010,,,,,,,,,,,,1.973702001,,22.55,114.1,China,East Asia,12528300,2017,,,,,,2050,5100,,,,,50455.03,0,141.5,13605.76923,94.40970309,,1.01,0.99,42.522,1,,,1.09,1.17,,,,,15,0.44,0.07,62%,84%,94,162,149,49,18,36,177,146,27,81,,,,,
Hangzhou,,,20319589.96,tCO2,2010,,,,,,,,,,,,3.188562052,,30.25,120.1666667,China,East Asia,7970000,,,,,,,8000,1214,,,,,49936.46,0.003188562,70.5,11294.4569,72.69784352,,1.01,0.99,42.522,0,"Mountains, Large River",,1.09,1.17,,,,,16,0.43,0.05,61%,64%,,,,,,,,,,,,,,,
Los Angeles,2000,2016,19595119,tCO2-eq,2013,CO2; CH4; N2O,Decreased,9429688,29024807,15671710.36,17648086.02,16659898.19,25101398.36,27077774.02,26089586.19,1,,"(34.0522342, -118.2436849)",34.05,-118.25,USA,North America,3976322,2016,4046000,10883000,13223000,1.019933215,1.009785356,1213.850613,8225,95,18,7.98E+11,USD     US Dollar,,860.452,731.8,56905.13219,163.4730488,8.8,0.78,0.56,80.731,1,,28.6,0.97,0.86,2.84,1,104,12.70%,12,0.45,0.04,62%,84%,5,130,11,5,36,130,13,126,15,36,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Ekurhuleni,,,19330397,tCO2-eq,2014,,,,,,,,,,,,,,26.223,28.167,South Africa,Africa,3178470,2011,,,,,,1975,1398.102785,,,,,,,,,61,,0.95,0.87,59.256,0,,,1.17,1.19,,,,,,,,,,,,,,,,,,,,,,,,
Rotterdam,,2017,17840039,tCO2,2016,CO2,Increased,,34190633,,,,,,,,,"(51.9163716, 4.4509382)",51.917,4.5,Netherlands,Europe,620000,2016,,,,,,208,,-5,11,,,,320.6,65.48175,43570.95995,,,,,,,,13.33333333,1.8,2.15,1.9,357,21,7.60%,- ,0.19,0,27%,42%,60,71,53,61,111,106,120,30,93,9,63420000000,81520000000,0.78,0.01365524,0.028739625
Chicago,,2017,16951471,tCO2-eq,2015,CO2; CH4; N2O,Decreased,12967223,29918694,14234702.57,15603245.97,14918974.27,27201925.57,28570468.97,27886197.27,1,,"(41.8781136, -87.6297982)",41.837,-87.684722,USA,North America,2704958,2016,,,,,,589.5594237,,181,9.4,5.63E+11,,,563.188,496.4,52351.82451,,,0.78,0.56,80.731,1,,30.95,0.97,0.86,2.57,19,57,10.20%,108,0.26,0,36%,57%,8,118,7,8,44,16,11,121,10,35,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Mexico City,2000,2016,16842493.45,tCO2-eq,2014,CO2; CH4; N2O; HFCs,Decreased,6812617.51,23655110.96,12529046.63,14883902.56,13706474.6,19341664.14,21696520.07,20519092.11,1,,"(19.4326077, -99.133208)",19.433,-99.133333,Mexico,Latin America & Caribbean,8874724,2014,2883000,15312000,20142000,1.032930178,1.01380291,1485.49,5838.110438,2240,16,2.58E+12,MXN     Mexican Peso,,403.561,255.1,12680.81722,40.00532815,3.7,0.54,0.74,76.308,0,Mountains,75,1.02,1.03,3.4,14,62,13.30%,1,0.66,0.07,96%,101%,38,138,29,81,56,33,71,154,73,83,2973000000,7800000000,0.38,0.007881899,0.023195197
Surat,,,16255462,tCO2-eq,2011,,,,,,,,,,,,,,21.178284,72.807696,India,South Asia,4467797,2011,,,,,,326.515,,,,,,,36,14,3206596.427,,,,,,,,,0.91,1.1,,,,,,,,,,,,,,,,,,,,,,,,
Rio de Janeiro,1998,2016,16171534,tCO2-eq,2012,CO2; CH4; N2O,Increased,4096511,20268045,13128762.15,13429525.37,13279143.76,17225273.15,17526036.37,17375654.76,1,,"(-22.9054389, -43.5614471)",-22.908,-43.196389,Brazil,Latin America & Caribbean,6500000,2016,2950000,9595000,11867000,1.023470467,1.010682622,1224,5415.810683,5,23.7,2.83E+11,BRL     Brazilian Real,,176.63,180.9,15283.87969,22.97259837,1,1.03,1.26,82.834,1,,42.6,1.02,1.27,2.94,29,51,15.80%,8,0.47,0,63%,81%,155,90,76,85,60,43,75,170,102,95,11700000000,17030000000,0.69,0.015120343,0.020419478
Toronto,2005,2016,16151019,tCO2,2013,CO2,Decreased,2169947,18320966,,,,,,,1,,"(43.653226, -79.3831843)",43.7,-79.4,Canada,North America,2810000,2016,1068000,3807000,5485000,1.027645732,1.018426492,634,779.7771228,77,8,1.57E+14,CAD     Canadian Dollar,,276.313,270,47030.13412,162.915756,9.8,0.9,0.76,80.122,1,,32.8,1.16,1.17,2.9,53,46,11.80%,73,0.3,0.02,50%,62%,15,37,2,32,43,51,18,44,26,45,77960000000,1.52E+11,0.51,0.046860437,0.101727514
Houston,,2016,16075539,tCO2-eq,2014,CO2; CH4; N2O,This is our first year of calculation,14511262,33428301,13882674.1,14987306.63,14434990.37,31235436.1,32340068.63,31787752.37,0.914997176,,"(29.7601927, -95.3693896)",29.763,-95.383056,USA,North America,2303482,2016,,,,,,1552.932104,,13,21,5.17E+11,USD     US Dollar,,483.184,341.1,57087.86611,,,0.78,0.56,80.731,1,,26.5,0.97,0.86,2.68,28,52,7.10%,117,0.24,-0.01,41%,60%,9,141,12,18,95,121,15,102,12,44,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Sao Paulo,2000,,15880130.36,tCO2-eq,2011,,,,,,,,,,,,,,-23.5505,-46.633309,Brazil,Latin America & Caribbean,12106920,2017,2334000,14776000,19649000,1.036145297,1.014353141,1521.11,6851.18051,,,,,,430.51,437,22200.7722,22.97259837,0.9,1.03,1.26,82.834,0,Near coast and not on,,1.02,1.27,,6,77,20.80%,71,0.3,0.01,42%,53%,,,,,,,,,,,,,,,
Buenos Aires,,2016,15561157,tCO2-eq,2014,CO2; CH4; N2O,Decreased,4105971,19667128,15163724.05,15206123.05,15184923.55,19269695.05,19312094.05,19290894.55,1,,"(-34.6037232, -58.3815931)",-34.603,-58.381667,Argentina,Latin America & Caribbean,3500000,2016,,,,,,202,,25,18,78326876513,USD     US Dollar,,315.885,191.7,14634.70494,,,,,,,,45.71,1.33,1.52,,,,,19,0.42,,64%,68%,113,113,49,60,47,49,107,97,82,63,2600000000,38770000000,0.07,0.004151498,0.004682918
Qingdao,,,14564735.02,tCO2,2010,,,,,,,,,,,,2.53942811,,36.06666667,120.3833333,China,East Asia,6188100,,,,,,,3239,679.6481045,,,,,43533.95,0.002539428,48.1,12933.5843,94.67734602,,1.01,0.99,42.522,1,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Caracas,,2016,14364103,tCO2-eq,2015,CO2; CH4; N2O,Increased,3410672,17774776,9921330.84,13479068.8,11700199.82,13332003.84,16889741.8,15110872.82,0.999999944,,"(10.4696404, -66.8037185)",10.481,-66.903611,Venezuela,Latin America & Caribbean,5290000,2016,,,,,,4715.1,,950,25,54000000000,,,51.804,69,14194.61016,,,,,,,,49.5,0.008,0.015,,13,63,21.10%,,,,,,180,136,174,119,164,112,30,173,178,114,0,1,0,0.008983247,0.045094892
Ahmedabad,,,13855311,tCO2-eq,2008,,,,,,,,,,,,,,23.03,72.58,India,South Asia,5633927,2011,,,,,,464.165,10560.34483,,,,,,49,12,1954.397394,15.77327514,,0.7,1.09,29.235,0,River,,0.91,1.1,,,,,,,,,,,,,,,,,,,,,,,,
Montreal,,2016,13634331,tCO2-eq,2009,CO2; CH4; N2O,Stayed the same,88611,13722942,9752290.922,11159093.93,10455692.42,9840901.922,11247704.93,10544303.42,1,,"(45.5086699, -73.5539925)",45.5,-73.566667,Canada,North America,1704694,2016,,,,,,431.5,,17,6.8,1.20E+11,CAD     Canadian Dollar,,155.905,151,39129.30811,,,0.9,0.76,80.122,,,29.7,1.16,1.17,2.8,27,52,14.00%,86,0.29,0.03,48%,59%,29,65,8,54,52,90,32,46,47,34,77960000000,1.52E+11,0.51,0.046860437,0.101727514
Sapporo,,,13024847.61,tCO2-eq,2014,,,,,,,,,,,,,,43.062,141.3544,Japan,East Asia,1880863,2016,,,,,,1121.26,,70.2,,,,,80.464,67.19166,30484.21475,,,1.3,1.42,85.978,,,28,1.1,1.38,2.12,,,,,,,,,,,,,,,,,,,,,,,
Shenyang,,,12745308,tCO2,2010,,,,,,,,,,,,2.04,,41.8,123.4,China,East Asia,6255921,,,,,,,3464,543.6254057,,,,,42649.95,0.00204,64.3,10511.68874,107.2438108,,1.01,0.99,42.522,0,"River, Mountains",,1.09,1.17,,,,,32,0.39,0.02,60%,73%,139,178,137,147,137,111,172,143,36,129,,,,,
Yokohama,,2016,12572000,tCO2-eq,2013,CO2; CH4; N2O; PFCs; SF6,Increased,9378000,21950000,12271300.04,12309732.35,12290516.19,21649300.04,21687732.35,21668516.19,1,,"(35.4437078, 139.6380256)",35.444,139.638056,Japan,East Asia,3579628,2016,,,,,,437.49,,37.1,16,1.04E+11,USD     US Dollar,,,,,,,,,,,,51.5,1.1,1.38,2.26,,,,,,,,,,,,,,,,,,,0,1,0,0.002518209,0.002887223
Philadelphia,,2016,12397594.06,tCO2-eq,2012,CO2; CH4; N2O; HFCs; PFCs; SF6,Decreased,6815276,19212870.06,10839463.59,11624355.35,11231909.47,17654739.59,18439631.35,18047185.47,1,,"(39.952335, -75.163789)",39.95,-75.166667,USA,North America,1567872,2016,,,,,,347.317659,,12,13.3,3.64E+11,USD     US Dollar,,346.455,314.5,52680.067,,,,,,,,32.5,0.97,0.86,2.59,93,38,7.90%,125,0.23,0,37%,49%,13,104,28,10,128,29,22,94,18,50,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Lima,,2016,12378734,tCO2-eq,2012,CO2; CH4; N2O,This is our first year of calculation,15432105,27810839,9927850.366,11005730.48,10466790.42,25359955.37,26437835.48,25898895.42,1,,"(-12.046374, -77.042793)",-12.043,-77.028333,Peru,Latin America & Caribbean,8693387,2014,,,,,,2672.3,,154,18,,,,176.447,77.3,8438.864629,,,,,,,,47.86,1.17,1.46,,,,,,,,,,84,137,55,118,64,118,83,135,124,142,0,1,0,0.005600728,0.009997594
Durban,,2016,11681810,tCO2-eq,2014,CO2; CH4; N2O,Increased,10905271,22587081,10291759.07,10464071.1,10377915.08,21197030.07,21369342.1,21283186.08,1,,"(-29.8586804, 31.0218404)",-29.883,31.05,South Africa,Africa,3560000,2016,,,,,,2292,,426,24,2308000000,ZAR     South African Rand,,48.908,22,7447.528775,,,,,,,,35.12,1.17,1.19,,158,30,9.30%,- ,0.22,0.04,44%,43%,167,123,85,160,173,138,110,156,147,156,0,1,0,0.012230678,0.013961338
Dalian,,,11448360.84,tCO2,2010,,,,,,,,,,,,2.299264701,,38.92083333,121.6391667,China,East Asia,6690432,2010,,,,,,13237,432.1825187,,,,,46214.99,0.002299265,54,13803.68098,134.5106047,,1.01,0.99,42.522,1,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Las Vegas,,2016,11002925,tCO2,2014,CO2,Increased,18654205,29657130,,,,,,,1,,"(36.1699412, -115.1398296)",36.175,-115.136389,USA,North America,632912,2016,,,,,,351.7724418,,664,21,94521,USD     US Dollar,,93.858,88,44556.96203,,,,,,,,25.3,0.97,0.86,2.77,333,22,7.50%,121,0.24,0.02,23%,40%,,,,,,,,,,,42870000000,7.66E+11,0.06,0.017698982,0.036729479
Suzhou,,,10917942.39,tCO2,2010,,,,,,,,,,,,1.489586129,,31.3,120.6,China,East Asia,10465994,2010,,,,,,8488.42,,,,,,48407,0.001489586,52.7,12935.68974,,,,,,,,,1.09,1.17,,,,,62,0.32,0.06,54%,56%,129,173,132,92,82,60,178,113,32,2,,,,,
Bogotá,,2016,10679585.14,tCO2-eq,2015,CO2; CH4; SF6; N2O,Decreased,1094791.71,12359324.53,7302604.564,9187181.873,8244893.218,8982343.954,10866921.26,9924632.608,0.952671549,,"(4.598056, -74.075833)",4.711,-74.072222,Colombia,Latin America & Caribbean,8080734,2017,,,,,,1635.1,,2650,15,50464206,USD     US Dollar,,159.85,85,9939.19551,,,0.73,1.04,73.581,0,Mountains,72,1.04,1.08,3.2,5,80,31.80%,,,,,,68,110,72,93,86,154,53,157,104,94,0,1,0,0.006765019,0.015307751
Calgary,2003,2016,10448332,tCO2-eq,2015,CO2; CH4; N2O,Decreased,7758900,18207232,7970890.52,8868684.476,8419787.498,15729790.52,16627584.48,16178687.5,1,,"(51.048615, -114.070846)",51.05,-114.066667,Canada,North America,1239220,2016,132000,738000,1191000,1.037342801,1.024218863,825.56,,1084,4.1,93000000000,CAD     Canadian Dollar,,97.882,78,62751.40788,,17.3,0.9,0.76,80.122,0,,27,1.16,1.17,3,481,16,4.60%,137,0.2,0.01,28%,39%,,,,,,,,,,,77960000000,1.52E+11,0.51,0.046860437,0.101727514
Edmonton,,2016,10215142,tCO2-eq,2014,CO2; CH4; N2O,Increased,6361560,16576702,8408375.227,9063125.017,8735750.122,14769935.23,15424685.02,15097310.12,1,,"(53.544389, -113.4909267)",53.533,-113.5,Canada,North America,932546,2016,,,,,,685.25,,671,3.6,45969000000,CAD     Canadian Dollar,,82.958,64,54421.76871,,,,,,,,25.6,1.16,1.17,2.9,447,17,6.30%,139,0.2,-0.01,25%,36%,,,,,,,,,,,77960000000,1.52E+11,0.51,0.046860437,0.101727514
Haerbin,,,10142882.88,tCO2,2010,,,,,,,,,,,,1.56,,45.75,126.6333333,China,East Asia,5282083,,,,,,,4640.4,184.9811321,,,,,35025.27,0.00156,38.8,6599.761864,55.73525289,,1.01,0.99,42.522,0,River,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Chengdou,,,9975976.2,tCO2,2010,,,,,,,,,,,,1.08,,30.65861111,104.0647222,China,East Asia,10152632,,,,,,,3679.9,,,,,,40023.38,0.00108,57.8,7528.982676,,,,,,,,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Cape Town,2006,2016,9783734,tCO2-eq,2012,CO2; CH4; N2O,Decreased,12860112,22643846,8251794.882,8441695.504,8346745.193,21111906.88,21301807.5,21206857.19,1,,"(-33.9253, 18.4239)",-33.925,18.423889,South Africa,Africa,3840000,2016,618000,2155000,3492000,1.029282912,1.024427782,2461,1250.409008,,16.6,2467976,USD     US Dollar,,58.863,38,10882.01604,44,6,0.95,0.87,59.256,1,,45.31,1.17,1.19,3.4,33,49,12.70%,48,0.35,0.05,75%,67%,163,145,71,144,94,135,40,159,90,139,0,1,0,0.012230678,0.013961338
"Nanjing, Jiangsu",,,9689288.421,tCO2,2010,,,,,,,,,,,,1.55322211,,32.05,118.7666667,China,East Asia,8335000,2017,,,,,,6587.02,920.3243407,,,,,49704.21,0.001553222,68.5,9559.028747,69.22249584,,1.01,0.99,42.522,0,Large River,,1.09,1.17,,,,,38,0.38,0.05,64%,67%,,,,,,,,,,,,,,,
Manchester,,2016,9587290,tCO2-eq,2013,CO2; CH4; N2O; HFCs; PFCs; SF6; NF3,Decreased,5302028,14889318,7730420.182,8184704.336,7957562.259,13032448.18,13486732.34,13259590.26,1,,"(53.4575955, -2.1578377)",53.467,-2.233333,United Kingdom,Europe,2547700,2001,,,,,,1280,2001.018809,250,9.5,87773000000,,,92.26,82,31696.94627,89.65282455,,1.65,1.44,79.007,0,Mountains,42.9,1.99,1.92,2.32,82,39,9.90%,39,0.38,0.01,68%,79%,52,73,22,25,103,125,63,37,100,76,10550000000,40990000000,0.26,0.018136258,0.026046307
"Xi'an, Shaanxi",,,9582034.56,tCO2,2010,,,,,,,,,,,,1.64,,34.26666667,108.9,China,East Asia,8705600,2015,,,,,,9983,850,,,,,39490.19,0,40.6,6246.153846,42.48141389,,1.01,0.99,42.522,0,Mountains,,1.09,1.17,,,,,,,,,,,,,,,,,,,,,,,,
Chongqing,,,9485242.8,tCO2,2010,,,,,,,,,,,,0.88,,29.55833333,106.5666667,China,East Asia,8165500,,,,,,,472.8,3145,,,,,37288.31,0.00088,88.6,5645.829351,144.3551611,,1.01,0.99,42.522,0,River,,1.09,1.17,,,,,4,0.52,0.14,90%,94%,143,176,109,162,81,119,174,143,56,93,,,,,
